,added_at,artist_ids,artists,id,name,release_date
41,2019-07-18T04:39:35Z,1URnnhqYAYcrqrcwql10ft,21 Savage,2FUNBaa5DwItJtYEBgAblU,monster,2018-12-21
42,2019-07-18T04:38:34Z,"20sxb77xiYeusSH8cVdatc, 1URnnhqYAYcrqrcwql10ft","Meek Mill, 21 Savage",0UNeNA0dcfUMsGxvLwf2p3,Pay You Back (feat. 21 Savage),2018-11-30
43,2019-07-18T04:34:48Z,20sxb77xiYeusSH8cVdatc,Meek Mill,42zd6DYQ4o4SECmTITrM1U,Dreams and Nightmares,2012-10-26
44,2019-07-18T04:32:48Z,"20sxb77xiYeusSH8cVdatc, 0A0FS04o6zMoto8OKPsDwY, 7hJcb9fa4alzcOq3EaNPoG","Meek Mill, YG, Snoop Dogg",3i1B1PnsfnOQPGVIzhf1lr,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",2017-12-15
45,2019-07-18T04:23:38Z,"6AgTAQt8XS6jRWi4sX7w49, 6jGMq4yGs7aQzuGsMgVgZR","Polo G, Lil Tjay",6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay),2019-06-07
46,2019-07-18T04:19:22Z,"7n2wHs1TKAczGzO7Dd2rGr, 4nDoRrQiYLoBzwC5BhVJzF","Shawn Mendes, Camila Cabello",0TK2YIli7K1leLovkQiNik,Senorita,2019-06-21
47,2019-07-18T04:17:55Z,"0YinUQ50QDB7ZxSCLyQ40k, 0A0FS04o6zMoto8OKPsDwY, 5LHRHt1k9lMyONurDHEdrp, 5dHt1vcEm9qb8fCyLcB3HL, 13ubrt8QOOCPljQ2FL1Kca","Mustard, YG, Tyga, A$AP Ferg, A$AP Rocky",3O7lxdQoe1aNWs93VSHsJg,On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky),2019-06-28
48,2019-07-18T04:13:01Z,"5LHRHt1k9lMyONurDHEdrp, 4GvEc3ANtPPjt1ZJllr5Zl","Tyga, Bazzi",45jYIJVqddvpQzOE04GJ5D,Made Me (feat. Bazzi),2019-06-07
49,2019-07-18T04:11:14Z,"5LHRHt1k9lMyONurDHEdrp, 4DdkRBBYG6Yk9Ka8tdJ9BW","Tyga, Offset",2toVe5hfuIi97ytDPDbQFt,Taste (feat. Offset),2019-06-07
50,2019-07-18T04:03:31Z,"6eUKZXaKkcviH0Ku9w2n3V, 5he5w2lnU9x7JFhnwcekXX","Ed Sheeran, Skrillex",5d1rmWWF1725tnYjq6rMDB,Way To Break My Heart (feat. Skrillex),2019-07-12
51,2019-07-18T03:59:16Z,"6eUKZXaKkcviH0Ku9w2n3V, 20sxb77xiYeusSH8cVdatc, 31W5EY0aAly4Qieq6OFu6I","Ed Sheeran, Meek Mill, A Boogie Wit da Hoodie",4vIKzWqtn44umal5jXq4wE,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),2019-07-12
52,2019-07-18T03:56:01Z,"6eUKZXaKkcviH0Ku9w2n3V, 3Y7RZ31TRPVadSFVy1o8os","Ed Sheeran, H.E.R.",3FHXUqaUer9o231Je1zxIN,I Don't Want Your Money (feat. H.E.R.),2019-07-12
53,2019-07-18T03:54:17Z,"6eUKZXaKkcviH0Ku9w2n3V, 3vQ0GE3mI0dAaxIMYe5g7z, 6Ip8FS7vWT1uKkJSweANQK","Ed Sheeran, Paulo Londra, Dave",2qRN7PWiHRLprw4FpDeI9N,Nothing On You (feat. Paulo Londra & Dave),2019-07-12
54,2019-07-18T03:51:22Z,"6eUKZXaKkcviH0Ku9w2n3V, 7HkdQ0gt53LP4zmHsL0nap","Ed Sheeran, Ella Mai",5T03itPFOPGGkvVPvPiyla,Put It All on Me (feat. Ella Mai),2019-07-12
55,2019-07-18T03:47:58Z,"6eUKZXaKkcviH0Ku9w2n3V, 1uNFoZAHBGtllmzznpCI3s","Ed Sheeran, Justin Bieber",0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),2019-07-12
56,2019-07-18T03:45:48Z,"6eUKZXaKkcviH0Ku9w2n3V, 2SrSdSvpminqmStGELCSNd","Ed Sheeran, Stormzy",1AI7UPw3fgwAFkvAlZWhE0,Take Me Back to London (feat. Stormzy),2019-07-12
57,2019-07-18T03:45:41Z,"6eUKZXaKkcviH0Ku9w2n3V, 1ooV8YZC1KbpEcrmI8WH0F","Ed Sheeran, YEBBA",0VsGaRXR5WAzpu51unJTis,Best Part of Me (feat. YEBBA),2019-07-12
58,2019-07-18T03:40:46Z,"6eUKZXaKkcviH0Ku9w2n3V, 7dGJo4pcD2V6oG8kP0tJRR, 3q7HBObVc0L8jNeTe5Gofh","Ed Sheeran, Eminem, 50 Cent",0AtP8EkGPn6SwxKDaUuXec,Remember The Name (feat. Eminem & 50 Cent),2019-07-12
